Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
92,69,PcDeMaNo – Tu dosis diaria de Tecnología,https://www.pcdemano.com/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,LUMEN,13,227,false,true,false,false,false,false,2018-10-18,2018-10-30,false,true
86,87,INTERWEBS - We like to find neat things.,https://interwebs.store/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,$199.00 Check it out!,16,281,false,false,false,false,false,false,2018-09-19,2018-11-21,false,false
59,58,"Meet Lumen, the New Device That Could Help You Hack Your Metabolism | Shape Magazine",https://www.shape.com/fitness/trends/lumen-metabolism-breathalyzer-device,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,22,110,false,false,false,false,false,false,2018-09-19,2018-11-21,false,false
53,33,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss – TechCrunch,https://techcrunch.com/2018/08/07/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,4,1,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
53,33,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss – TechCrunch,https://techcrunch.com/2018/08/07/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,4,1,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
50,46,Lumen - Nutritionist In Your Pocket and Metabolism Tracker,https://lumen.me/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,PRE-ORDER (16% OFF NOW),8,9,false,false,false,false,false,false,2018-09-21,2018-11-18,false,false
45,37,Lumen vous aide à perdre du poids en analysant votre haleine,https://www.begeek.fr/lumen-vous-aide-a-perdre-du-poids-en-analysant-votre-haleine-284538,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,campagne Indiegogo,10,67,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
43,47,health Archives - Geek News Central,https://geeknewscentral.com/category/health-2/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,152,210,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
40,44,Lumen Analyzes Your Breath to Help You Lose Weight | The Spoon,https://thespoon.tech/lumen-analyzes-your-breath-to-help-you-lose-weight/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,launched an Indiegogo campaign,17,101,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
38,34,PcDeMaNo – Página 4 – Tu dosis diaria de Tecnología,https://www.pcdemano.com/page/4/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,LUMEN,15,182,false,true,false,false,false,false,2018-11-05,2018-11-12,true,true
36,41,health Archives - Geek News Central,https://geeknewscentral.com/category/health-2/health-2/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,144,199,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
35,40,Lumen | Science,https://lumen.me/science,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Pre-Order Lumen,4,7,false,false,false,false,false,false,2018-09-21,2018-11-18,false,false
35,39,Lumen: A Portable Breathalyzer That Measures Your Metabolic Fuel Usage - Core77,https://www.core77.com/posts/79600/Lumen-A-Portable-Breathalyzer-That-Measures-Your-Metabolic-Fuel-Usage,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,crowd funding campaign,42,107,false,true,false,false,false,false,2018-09-23,2018-09-23,false,false
32,23,Crowdrush,https://crowdrush.co/?ref=transferslot.com,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,,23,7,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
29,33,Lumen | Science,http://www.lumen.me/science,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Pre-Order Lumen,4,7,false,false,false,false,false,false,2018-09-21,2018-11-18,false,false
28,33,Lumen | About us,https://lumen.me/about,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Pre-Order Lumen,4,7,false,false,false,false,false,false,2018-09-21,2018-11-18,false,false
28,10,Pocket-sized breath analyzer promises to hack your metabolism | Cult of Mac,https://www.cultofmac.com/563295/pocket-sized-breath-analyzer-promises-to-hack-your-metabolism/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen is launching as a crowdfunded product,15,59,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
25,26,Lumen: Hack your metabolism & lose weight on TheCrowdfundingCentre Video Browser,http://thecrowdfundingcenter.com/videos/play?id=F22325,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,BACK THIS PROJECT,5,136,false,true,false,false,false,false,2018-09-29,2018-09-29,false,false
25,26,Lumen: El proyecto innovador de la semana #84,https://www.gizlogic.com/lumen-proyecto-innovador/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,9,37,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
24,30,,http://forum2.hiendgear.com/cgi-bin/ultiweb.cgi?action=show_message_classic&id=84,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight-apps-food#/,6,21,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
24,1,wearable – PcDeMaNo,https://www.pcdemano.com/category/sc/wearable/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,LUMEN,13,186,false,true,false,false,false,false,2018-10-19,2018-10-19,false,false
22,1,メタボが気になる人必見 息を吹きかけるだけで瞬時にデータ化 ｜ Sparkling IT news,https://sparkling-it-news.com/?p=4379,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,9,91,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
21,26,Lumen | Indiegogo on Hyperstarter,https://www.hyperstarter.com/indiegogo/lumen-hack-your-metabolism,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Pre-Order,8,22,false,false,false,false,false,false,2018-10-05,2018-10-05,false,false
21,12,代謝を測定して食事と運動をコーチングするダイエットデバイス「Lumen」,https://sakidori.co/article/323567,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,14,89,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
20,29,Deze blaastest 'hackt' je stofwisseling | Bright,https://www.bright.nl/nieuws/artikel/4303451/blaastest-lumen-hackt-je-stofwisseling,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,9,24,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
20,1,"Lumen raises $7M and passes $1M on IndieGoGo for its breath-measuring device for weight loss - Whazupnaija - Nigeria blogs, News & Entertainment",https://whazupnaija.com/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,10,103,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
20,1,"Lumen raises $7M and passes $1M on IndieGoGo for its breath-measuring device for weight loss - Whazupnaija - Nigeria blogs, News & Entertainment",https://whazupnaija.com/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,10,103,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
19,1,Ciencia – PcDeMaNo,https://www.pcdemano.com/category/sc/ciencia/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,LUMEN,11,186,false,true,false,false,false,false,2018-10-22,2018-10-22,true,false
17,11,"Good News Archive: Aug. 19, 2018 | United with Israel",https://unitedwithisrael.org/good-news-archive-aug-19-2018/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight-apps-food#/,79,118,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
16,22,"Lumen, A Small Wearable Device Reinventing Weight Management By Hacking Your Metabolism",https://fashnerd.com/2018/07/lumen-wearables-weightloss-metabolism/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Back the campaign,25,190,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
16,22,ダイエットに重宝しそう! 吐息で代謝状況がわかるデバイス「Lumen」が画期的 | Techable(テッカブル),https://techable.jp/archives/80420,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen/Indiegogo,14,87,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
16,6,Lumen monitora il metabolismo per farti perdere peso - Wired,https://www.wired.it/lifestyle/salute/2018/07/26/metabolismo-farti-perdere-peso/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,26,141,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
14,21,Meet 5 Startups With The Kind Of Innovation That You Should Back,https://fashnerd.com/2018/08/startups-innovation-funding/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,BACK THE CAMPAIGN,26,192,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
14,3,Bafômetro analisa metabolismo via respiração e app - Lucilia Diniz,http://luciliadiniz.com/bafometro-peso/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,clique aqui,15,52,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
14,20,Lumen Hit Their Indiegogo Funding Goal - Geek News Central,https://geeknewscentral.com/2018/08/14/lumen-hit-their-indiegogo-funding-goal/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,46,36,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
13,18,Straight to the Bar | Scott Andrew Bird's Articles,http://straighttothebar.com/articles/author/scott_andrew_bird/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,The Lumen.,501,193,false,false,false,false,false,false,2018-09-19,2018-11-21,false,false
8,1,DTC startups disrupting traditional brands – VC Cafe,https://www.vccafe.com/2018/08/20/dtc-startups-disrupting-traditional-brands/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,38,27,false,false,false,false,false,false,2018-09-19,2018-11-21,false,false
2,12,Startupowa prasówka: 6-10.08.2018 - Just Geek IT.,https://geek.justjoin.it/startupowa-prasowka-6-10-08-2018/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,42,112,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
2,3,Highly – Lumen: Hack your metabolism & lose weight (indiegogo.com) – andrew's highlights,https://www.highly.co/hl/qXg06opvcQWoHj#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,indiegogo.com,3,22,false,false,false,false,false,false,2018-09-19,2018-11-21,false,false
2,3,Highly – Lumen: Hack your metabolism & lose weight (indiegogo.com) – andrew's highlights,https://www.highly.co/hl/9IFYzoUWrDq3LG,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,indiegogo.com,3,22,false,false,false,false,false,false,2018-09-19,2018-11-21,false,false
2,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss – TechCrunch - Amtrea,http://amtrea.com/2018/08/07/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-techcrunch/#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,8,141,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
2,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss – TechCrunch - Amtrea,http://amtrea.com/2018/08/07/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss-techcrunch/#,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,8,141,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
2,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Tech Scenes,https://techscenes.com/startups/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,6,2625,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
2,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss - Tech Scenes,https://techscenes.com/startups/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,6,2625,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
2,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss – Expresscipes.com,http://expresscipes.com/index.php/2018/08/14/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Indiegogo,4,40,false,false,false,false,false,false,2018-09-02,2018-09-21,false,false
2,1,Lumen raises $7M and passes $1M on Indiegogo for its breath-measuring device for weight loss – Expresscipes.com,http://expresscipes.com/index.php/2018/08/14/lumen-raises-7m-and-passes-1m-on-indiegogo-for-its-breath-measuring-device-for-weight-loss/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,4,40,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
2,1,Mike Butcher – Page 2 – Tech,http://seriouslytech.com/author/mike-butcher/page/2/,https://www.indiegogo.com/projects/lumen-hack-your-metabolism-lose-weight,Lumen,107,78,false,false,false,false,false,false,2018-09-05,2018-10-04,false,false
