Domain ascore,Domain score,Domain trust score,Domain,Backlinks,IP Address,Country,First seen,Last seen
44,22,31,straighttothebar.com,12,255.255.255.255,,2018-09-19,2018-11-21
41,18,23,pcdemano.com,12,104.24.102.58,us,2018-10-18,2018-11-21
15,1,0,techscenes.com,12,255.255.255.255,,2018-09-02,2018-10-04
13,2,3,amtrea.com,10,255.255.255.255,,2018-09-02,2018-10-04
60,29,36,geeknewscentral.com,10,255.255.255.255,,2018-09-05,2018-10-04
36,14,29,die-smartwatch.de,10,255.255.255.255,,2018-09-05,2018-10-04
12,1,0,technewsuniverse.com,10,255.255.255.255,,2018-09-02,2018-10-04
44,19,31,thecrowdfundingcenter.com,9,255.255.255.255,,2018-08-25,2018-11-21
15,2,0,americaunitedwithisrael.org,9,255.255.255.255,,2018-09-05,2018-10-04
23,8,28,techadre.com,8,255.255.255.255,,2018-09-02,2018-10-04
21,12,14,mxcs.it,8,255.255.255.255,,2018-09-02,2018-10-04
32,8,28,howldb.com,7,255.255.255.255,,2018-09-02,2018-10-04
47,22,32,highly.co,7,255.255.255.255,,2018-09-19,2018-11-21
16,5,0,chiaseedsbuy.com,6,255.255.255.255,,2018-09-02,2018-10-04
13,2,0,vivalasgidi.com,6,255.255.255.255,,2018-09-02,2018-10-04
14,1,0,software-creators.com,6,255.255.255.255,,2018-09-02,2018-10-04
32,7,28,kwotable.com,6,255.255.255.255,,2018-09-02,2018-10-04
17,5,6,advice4all.eu,6,255.255.255.255,,2018-09-02,2018-10-04
29,9,28,hiendgear.com,5,255.255.255.255,,2018-09-05,2018-10-04
40,14,30,arikovani.com,5,255.255.255.255,,2018-09-05,2018-10-04
36,10,29,lumen.me,5,255.255.255.255,,2018-09-21,2018-11-18
66,41,46,unitedwithisrael.org,4,255.255.255.255,,2018-09-05,2018-10-04
9,1,0,techfield.org,4,255.255.255.255,,2018-09-02,2018-10-04
16,2,0,passivetech.com,4,255.255.255.255,,2018-09-02,2018-10-04
15,2,3,interwebs.store,4,255.255.255.255,,2018-09-19,2018-11-21
8,1,0,lumen.is,4,255.255.255.255,,2018-09-21,2018-11-18
13,1,0,kavrekoseli.com,4,255.255.255.255,,2018-09-02,2018-10-04
26,1,28,webdnet.com,4,255.255.255.255,,2018-09-02,2018-10-04
14,1,0,technewspower.com,4,255.255.255.255,,2018-09-02,2018-10-04
18,8,5,supertoast.pt,4,255.255.255.255,,2018-09-05,2018-10-04
18,2,4,withbestprice.com,4,255.255.255.255,,2018-09-02,2018-10-04
16,4,3,holyshit.biz,4,255.255.255.255,,2018-09-02,2018-10-04
14,1,0,technewsnerds.com,4,255.255.255.255,,2018-09-02,2018-10-04
13,1,0,hyperhealthy.com,4,255.255.255.255,,2018-09-02,2018-10-04
73,46,53,cultofmac.com,4,255.255.255.255,,2018-09-05,2018-10-04
73,43,49,core77.com,3,209.133.209.153,us,2018-09-21,2018-10-06
15,7,2,teofilo.net,3,255.255.255.255,,2018-09-05,2018-10-04
41,17,30,fashnerd.com,3,255.255.255.255,,2018-09-05,2018-10-04
30,10,28,bi.mk,3,255.255.255.255,,2018-09-05,2018-10-04
61,29,36,begeek.fr,3,255.255.255.255,,2018-09-05,2018-10-04
54,27,36,thespoon.tech,3,255.255.255.255,,2018-09-05,2018-10-04
25,10,10,viatec.do,3,255.255.255.255,,2018-09-05,2018-10-04
34,14,29,gooutside.com.br,3,255.255.255.255,,2018-09-19,2018-11-21
53,24,33,turn-on.de,2,255.255.255.255,,2018-09-05,2018-10-04
15,1,0,techworld.zone,2,255.255.255.255,,2018-09-02,2018-10-04
42,17,30,espalhafactos.com,2,255.255.255.255,,2018-10-07,2018-11-18
31,11,29,backerclub.co,2,67.212.75.112,ca,2018-08-23,2018-11-16
42,18,26,startup365.fr,2,255.255.255.255,,2018-09-02,2018-10-04
14,1,0,softarticlez.com,2,255.255.255.255,,2018-09-02,2018-10-04
86,57,58,altervista.org,2,255.255.255.255,,2018-09-02,2018-10-04
38,15,30,ideaing.com,2,255.255.255.255,,2018-10-07,2018-11-18
22,1,28,codingvideos.net,2,255.255.255.255,,2018-09-02,2018-10-04
15,1,0,maggag.com,2,255.255.255.255,,2018-09-02,2018-10-04
29,26,0,startup9.com,2,255.255.255.255,,2018-09-02,2018-10-04
13,1,0,electronicsnearme.online,2,255.255.255.255,,2018-09-05,2018-10-04
76,50,56,appleinsider.com,2,255.255.255.255,,2018-09-05,2018-10-04
13,1,0,technewspark.com,2,255.255.255.255,,2018-09-02,2018-10-04
59,29,36,techgig.com,2,255.255.255.255,,2018-09-02,2018-10-04
56,25,34,ipadizate.es,2,255.255.255.255,,2018-09-05,2018-10-04
37,18,30,luciliadiniz.com,2,255.255.255.255,,2018-09-05,2018-10-04
22,1,28,geektechnews.tk,2,255.255.255.255,,2018-09-02,2018-10-04
36,12,29,gizlogic.com,2,255.255.255.255,,2018-09-05,2018-10-04
18,2,2,whazupnaija.com,2,255.255.255.255,,2018-09-02,2018-10-04
48,21,32,janglo.net,2,255.255.255.255,,2018-09-05,2018-10-04
11,1,0,sparkling-it-news.com,2,255.255.255.255,,2018-09-05,2018-10-04
85,66,72,techcrunch.com,2,255.255.255.255,,2018-09-02,2018-10-04
55,25,34,mondofox.it,2,255.255.255.255,,2018-09-05,2018-10-04
12,1,0,technewsace.com,2,255.255.255.255,,2018-09-02,2018-10-04
11,1,0,expresscipes.com,2,255.255.255.255,,2018-09-02,2018-10-04
74,51,58,producthunt.com,2,255.255.255.255,,2018-08-30,2018-11-21
56,27,35,techable.jp,1,255.255.255.255,,2018-09-05,2018-10-04
43,21,26,vccafe.com,1,255.255.255.255,,2018-09-19,2018-11-21
39,18,30,justjoin.it,1,255.255.255.255,,2018-09-05,2018-10-04
33,12,14,rss2.com,1,255.255.255.255,,2018-09-05,2018-10-04
44,20,25,wcmh.com,1,255.255.255.255,,2018-09-19,2018-11-21
43,18,30,sakidori.co,1,255.255.255.255,,2018-09-05,2018-10-04
31,7,28,hyperstarter.com,1,255.255.255.255,,2018-10-05,2018-10-05
36,9,29,unlockmen.com,1,255.255.255.255,,2018-09-05,2018-10-04
15,5,10,israelactive.com,1,255.255.255.255,,2018-09-05,2018-10-04
17,3,5,linksoftvn.com,1,255.255.255.255,,2018-09-05,2018-10-04
